sku,product_name,marketplace,order_date,quantity,revenue
castle-pen-blue,Castle Pen Blue Edition,amazon,2025-01-10,3,45.99
castle-pen-red,Castle Pen Red Edition,flipkart,2025-01-11,2,39.99
golden-apple-pro,Golden Apple Pro Device,amazon,2025-01-12,1,299.99
golden-apple-lite,Golden Apple Lite Version,shopify,2025-01-13,2,199.99
tech-gadget-basic,Tech Gadget Basic Model,flipkart,2025-01-14,1,89.99
tech-gadget-pro,Tech Gadget Pro Model,amazon,2025-01-15,1,149.99
home-decor-set-1,Home Decoration Premium Set,shopify,2025-01-16,1,79.99
home-decor-set-2,Home Decoration Basic Set,amazon,2025-01-17,2,59.99
sports-gear-starter,Sports Equipment Starter Kit,flipkart,2025-01-18,1,129.99
sports-gear-pro,Sports Equipment Professional Kit,amazon,2025-01-19,1,249.99
pen-variant-1,Blue Pen Variant,amazon,2025-01-20,5,12.99
pen-variant-2,Red Pen Variant,flipkart,2025-01-21,3,11.99
pen-variant-3,Black Pen Variant,shopify,2025-01-22,4,13.99
castle-premium,Castle Premium Collection,amazon,2025-01-23,1,199.99
castle-basic,Castle Basic Collection,flipkart,2025-01-24,2,99.99